9533,8775,45001
7123,6493,36302
6493,5778,34781
7262,6410,36995
7807,6953,43026
11587,10562,63963
10841,9676,54291
8167,7406,38408
7192,6404,41228
7212,6376,38718
7787,6912,44866
8649,7757,46295
10529,9434,55964
10051,8995,51998
8429,7579,45647
7533,6716,41696
9005,8016,46380
10093,9092,48457
9189,8138,50483
10005,8974,50861
11260,10143,56539
8952,8124,42905
8177,7167,43372
7991,7042,44857
7808,6862,42422
8083,7130,43738
10122,9068,52984
12308,11261,60222
8968,8058,41662
7476,6542,38446
7473,6498,36185
8398,7321,44585
8391,7390,43938
10479,9282,54194
9823,8871,48499
8004,7114,38049
10700,9370,65073
10323,9115,61404
9907,8617,58037
10461,9271,56450
13096,11799,70321
12468,11305,67476
9693,8743,52914
10140,9089,57445
11186,10004,60047
10443,9189,55653
10549,9224,61427
12979,11597,75108
12038,10920,63870
9693,8736,50060
