18550,30117,31161,32269,33370,,35383,36296,37172,38041
35624,24220,25107,26015,26941,27884,28842,29816,30809,31825
13021,29051,29004,2895,28891,2880,28761,28737,28676,28191
449,83747,82427,80774,79213,78011,77297,77001,77006,77142
49988,89477,91496,91970,92175,92600,9980,94203,9959,70529
753,41290,43271,42935,46900,43966,430368,44811,44502,
77319,28538,2829,2894,2403,2553,2946,2909,NA,29731
5679,5559,5567,5713,5791,5812,5741,5520,5465,5312
88028,89253,90409,91516,9262,9566,9527,9426,966,97118
22750,22024,22465,2129,23686,23895,,NA,24988,24307
8404,8343,84291,9823,8546,8649,8738,87566,8521,8867
90332,9082,92954,9401,95379,9641,9812,9833,9771,1018
86602,8906,92488,9589,9897,10030,10498,10824,11378,30580
19586,11264,16932,19407,11257,,11422,11158,11054,11055
9259,94830,9248,10588,1042,15952,12067,15204,11048,11851
15217,16011,16546,17075,17017,1824,1878,1984,1975,20378
147430,149278,151807,14676,154567,,150840,15963,NA,
7399,73328,7308,72115,7938,71791,71222,707947,7027,6961
12860,127151,12943,1315029,13075,1371851,1425791,149074,1569,1642
3542,3577,3634,3668,3703,3706,377931,NA,385640,389482
35472,36175,36072,35425,2104,,33867,33527,33229,3300
9583,94732,9495,94997,9411,99616,9534,98264,9499,94856
3264,330237,33800,3415,3566,3609,3600,375769,383071,390353
6524,64564,6478,65001,65138,65237,64554,63873,63920,63918
10590,10254,10376,10376,10517,1730,11813,11854,11142,11100
19535,19454,1996,20103,20235,,20658,2831,NA,NA
2821,287,2800,2896,2825,2324,2856,233,2841,2875
3846,3938,38989,404421,40969,414907,41900,424473,48962,43385
68503,6998,701583,71038,7196,72776,736709,7458,7394,763092
19805,20102,203551,20536,20814,210716,21944,2128,2254126,23097
43868,44186,43415,447942,446475,43170,4767,4528,4377,4785
34089,343328,347222,35954,35435,357008,361487,36321,37565,39262
7809,791298,796861,80846,81649,82896,8338,8440,854329,8832
17036,172376,170347,171507,17759,17953,18068,184439,18760,12038
135000,134430,13506,13570,13600,,,NA,130000,NA
22950,21055,21588,22005,2263,6143,22714,2769,25229,26544
20241,20388,21566,22798,22658,23368,26539,24545,25237,25880
64854,66753,69047,71307,73747,76544,78127,86764,840191,
47231,43944,45108,46261,47974,48565,49580,51102,52443,58508
45700,45699,46048,46467,46909,20667,48392,41066,49685,50443
